Unicode,NAME,PDFDocEncoding,StandardEncoding,MacRomanEncoding,WinAnsiEncoding
U+0020,space,40,40,40,40
U+0021,exclam,41,41,41,41
U+0022,quotedbl,42,42,42,42
U+0023,numbersign,43,43,43,43
U+0024,dollar,44,44,44,44
U+0025,percent,45,45,45,45
U+0026,ampersand,46,46,46,46
U+0027,quotesingle,47,251,47,47
U+0028,parenleft,50,50,50,50
U+0029,parenright,51,51,51,51
U+002A,asterisk,52,52,52,52
U+002B,plus,53,53,53,53
U+002C,comma,54,54,54,54
U+002D,hyphen,55,55,55,55
U+002E,period,56,56,56,56
U+002F,slash,57,57,57,57
U+0030,zero,60,60,60,60
U+0031,one,61,61,61,61
U+0032,two,62,62,62,62
U+0033,three,63,63,63,63
U+0034,four,64,64,64,64
U+0035,five,65,65,65,65
U+0036,six,66,66,66,66
U+0037,seven,67,67,67,67
U+0038,eight,70,70,70,70
U+0039,nine,71,71,71,71
U+003A,colon,72,72,72,72
U+003B,semicolon,73,73,73,73
U+003C,less,74,74,74,74
U+003D,equal,75,75,75,75
U+003E,greater,76,76,76,76
U+003F,question,77,77,77,77
U+0040,at,100,100,100,100
U+0041,A,101,101,101,101
U+0042,B,102,102,102,102
U+0043,C,103,103,103,103
U+0044,D,104,104,104,104
U+0045,E,105,105,105,105
U+0046,F,106,106,106,106
U+0047,G,107,107,107,107
U+0048,H,110,110,110,110
U+0049,I,111,111,111,111
U+004A,J,112,112,112,112
U+004B,K,113,113,113,113
U+004C,L,114,114,114,114
U+004D,M,115,115,115,115
U+004E,N,116,116,116,116
U+004F,O,117,117,117,117
U+0050,P,120,120,120,120
U+0051,Q,121,121,121,121
U+0052,R,122,122,122,122
U+0053,S,123,123,123,123
U+0054,T,124,124,124,124
U+0055,U,125,125,125,125
U+0056,V,126,126,126,126
U+0057,W,127,127,127,127
U+0058,X,130,130,130,130
U+0059,Y,131,131,131,131
U+005A,Z,132,132,132,132
U+005B,bracketleft,133,133,133,133
U+005C,backslash,134,134,134,134
U+005D,bracketright,135,135,135,135
U+005E,asciicircum,136,136,136,136
U+005F,underscore,137,137,137,137
U+0060,grave,140,301,140,140
U+0061,a,141,141,141,141
U+0062,b,142,142,142,142
U+0063,c,143,143,143,143
U+0064,d,144,144,144,144
U+0065,e,145,145,145,145
U+0066,f,146,146,146,146
U+0067,g,147,147,147,147
U+0068,h,150,150,150,150
U+0069,i,151,151,151,151
U+006A,j,152,152,152,152
U+006B,k,153,153,153,153
U+006C,l,154,154,154,154
U+006D,m,155,155,155,155
U+006E,n,156,156,156,156
U+006F,o,157,157,157,157
U+0070,p,160,160,160,160
U+0071,q,161,161,161,161
U+0072,r,162,162,162,162
U+0073,s,163,163,163,163
U+0074,t,164,164,164,164
U+0075,u,165,165,165,165
U+0076,v,166,166,166,166
U+0077,w,167,167,167,167
U+0078,x,170,170,170,170
U+0079,y,171,171,171,171
U+007A,z,172,172,172,172
U+007B,braceleft,173,173,173,173
U+007C,bar,174,174,174,174
U+007D,braceright,175,175,175,175
U+007E,asciitilde,176,176,176,176
U+00A1,exclamdown,241,241,301,241
U+00A2,cent,242,242,242,242
U+00A3,sterling,243,243,243,243
U+00A4,currency,244,250,333,244
U+00A5,yen,245,245,264,245
U+00A6,brokenbar,246,,,246
U+00A7,section,247,247,244,247
U+00A8,dieresis,250,310,254,250
U+00A9,copyright,251,,251,251
U+00AA,ordfeminine,252,343,273,252
U+00AB,guillemotleft,253,253,307,253
U+00AC,logicalnot,254,,302,254
U+00AE,registered,256,,250,256
U+00AF,macron,257,305,370,257
U+00B0,degree,260,,241,260
U+00B1,plusminus,261,,261,261
U+00B2,twosuperior,262,,,262
